0 [1.00e+01]
1000 [1.04e+01]
2000 [1.11e+01]
3000 [1.18e+01]
4000 [1.26e+01]
5000 [1.35e+01]
6000 [1.43e+01]
7000 [1.52e+01]
8000 [1.61e+01]
9000 [1.69e+01]
10000 [1.78e+01]
11000 [1.79e+01]
12000 [1.84e+01]
13000 [1.92e+01]
14000 [2.00e+01]
15000 [2.09e+01]
16000 [2.17e+01]
17000 [2.26e+01]
18000 [2.35e+01]
19000 [2.44e+01]
20000 [2.54e+01]
21000 [2.63e+01]
22000 [2.72e+01]
23000 [2.81e+01]
24000 [2.90e+01]
25000 [3.00e+01]
26000 [3.09e+01]
27000 [3.18e+01]
28000 [3.27e+01]
29000 [3.37e+01]
30000 [3.46e+01]
30000 [3.46e+01]
35286 [1.51e+02]
