0 [1.00e+01]
1000 [1.13e+01]
2000 [1.30e+01]
3000 [1.40e+01]
4000 [1.50e+01]
5000 [1.59e+01]
6000 [1.68e+01]
7000 [1.77e+01]
8000 [1.86e+01]
9000 [1.95e+01]
10000 [2.04e+01]
11000 [2.14e+01]
12000 [2.23e+01]
13000 [2.32e+01]
14000 [2.41e+01]
15000 [2.51e+01]
16000 [2.60e+01]
17000 [2.69e+01]
18000 [2.79e+01]
19000 [2.88e+01]
20000 [2.97e+01]
21000 [3.07e+01]
22000 [3.16e+01]
23000 [3.25e+01]
24000 [3.35e+01]
25000 [3.44e+01]
26000 [3.54e+01]
27000 [3.63e+01]
28000 [3.72e+01]
29000 [3.82e+01]
30000 [3.91e+01]
30000 [3.91e+01]
60000 [4.94e+02]
