0 [1.00e+01]
1000 [1.03e+01]
2000 [1.19e+01]
3000 [1.28e+01]
4000 [1.36e+01]
5000 [1.45e+01]
6000 [1.53e+01]
7000 [1.62e+01]
8000 [1.70e+01]
9000 [1.79e+01]
10000 [1.88e+01]
11000 [1.96e+01]
12000 [2.05e+01]
13000 [2.14e+01]
14000 [2.22e+01]
15000 [2.31e+01]
16000 [2.40e+01]
17000 [2.49e+01]
18000 [2.57e+01]
19000 [2.66e+01]
20000 [2.75e+01]
21000 [2.84e+01]
22000 [2.92e+01]
23000 [3.01e+01]
24000 [3.10e+01]
25000 [3.19e+01]
26000 [3.27e+01]
27000 [3.36e+01]
28000 [3.45e+01]
29000 [3.53e+01]
30000 [3.62e+01]
31000 [3.71e+01]
32000 [3.79e+01]
33000 [3.88e+01]
34000 [3.96e+01]
35000 [4.04e+01]
36000 [4.13e+01]
37000 [4.21e+01]
38000 [4.29e+01]
39000 [4.37e+01]
40000 [4.45e+01]
41000 [4.52e+01]
42000 [4.59e+01]
43000 [4.66e+01]
44000 [4.73e+01]
45000 [4.78e+01]
46000 [4.84e+01]
47000 [4.88e+01]
48000 [4.92e+01]
49000 [4.94e+01]
50000 [4.96e+01]
51000 [4.98e+01]
52000 [4.99e+01]
53000 [5.00e+01]
54000 [5.00e+01]
55000 [5.01e+01]
56000 [5.01e+01]
57000 [5.01e+01]
58000 [5.01e+01]
59000 [5.02e+01]
60000 [5.02e+01]
